BR1	37.74	2.44	0.00	50V/2A	SOP270P700X270-4
C1	25.40	52.51	90.00	0.1uF	C0603
C10	31.75	55.98	90.00	0.1uF	C0603
C11	27.97	52.55	90.00	0.1uF	C0603
C12	25.40	46.53	270.00	10uF	C0603
C13	27.97	46.56	270.00	0.1uF	C0603
C14	27.94	43.18	270.00	18nF	C0603
C15	34.93	40.64	270.00	18nF	C0603
C16	39.37	23.62	270.00	0.1uF	C0603
C17	54.61	16.89	90.00	18nf	C0603
C18	52.07	16.89	270.00	18nf	C0603
C19	54.61	30.86	90.00	18nf	C0603
C2	6.35	58.42	270.00	18nf	C0603
C20	52.07	30.86	270.00	18nf	C0603
C21	54.61	44.83	90.00	18nf	C0603
C22	52.07	44.83	270.00	18nf	C0603
C23	39.37	20.32	270.00	10uF	C0603
C24	36.83	20.32	270.00	0.1uF	C0603
C25	33.02	20.35	270.00	0.1uF	C0603
C26	36.88	23.62	270.00	0.1uF	C0603
C27	39.37	29.72	90.00	10uF	C0603
C28	36.83	29.72	90.00	0.1uF	C0603
C29	36.83	33.02	90.00	18nF	C0603
C3	8.89	58.42	90.00	18nf	C0603
C30	30.48	35.56	90.00	18nF	C0603
C31	26.67	13.97	270.00	0.1uF	C0603
C32	38.10	13.97	90.00	220pF	C0603
C33	35.05	8.36	180.00	100uF/25V	UD-6,3X7,7_NICHICON
C34	25.25	1.57	180.00	10uF/25V	C0805
C35	29.21	13.97	90.00	10nF	C0603
C36	9.45	6.65	0.00	100uF/6.3V/1210	C1210
C4	6.35	44.45	270.00	18nf	C0603
C5	8.89	44.45	90.00	18nf	C0603
C6	6.35	30.48	270.00	18nf	C0603
C7	8.89	30.48	90.00	18nf	C0603
C8	25.40	55.95	90.00	10uF	C0603
C9	27.97	55.95	90.00	0.1uF	C0603
CF1	1.32	9.55	180.00	BLU	CHIPLED_0603
CF1-2	3.76	9.55	180.00	BLU	CHIPLED_0603
CT1-2	6.34	51.99	0.00	SJ2-35813B-SMT-TR	CUI_SJ2-35813B-SMT-TR
CT2-2	6.34	38.04	0.00	SJ2-35813B-SMT-TR	CUI_SJ2-35813B-SMT-TR
CT3-2	6.34	24.08	0.00	SJ2-35813B-SMT-TR	CUI_SJ2-35813B-SMT-TR
CT4-2	54.62	23.32	180.00	SJ2-35813B-SMT-TR	CUI_SJ2-35813B-SMT-TR
CT5-2	54.62	37.27	180.00	SJ2-35813B-SMT-TR	CUI_SJ2-35813B-SMT-TR
CT6-2	54.62	51.23	180.00	SJ2-35813B-SMT-TR	CUI_SJ2-35813B-SMT-TR
D1	20.96	6.99	270.00		DO214AC
FD1	7.62	60.96	0.00	FIDUCIALUFIDUCIAL	FIDUCIAL-MICRO
FD2	55.25	11.43	0.00	FIDUCIALUFIDUCIAL	FIDUCIAL-MICRO
IC1	35.75	49.03	0.00	ATM90E32AS	QFP50P900X900X120-48
IC2	29.02	27.17	180.00	ATM90E32AS	QFP50P900X900X120-48
IC3	26.31	7.11	90.00	LMR14020SDDA	SOIC127P600X170-9N
J4	49.52	5.08	90.00	9-12VAC	CUI_PJ-002AH-SMT-TR
J9	49.25	59.09	180.00	PKS019-4011-0	PKS01940110
L1	10.74	12.65	180.00	3.3uH / 8x8mm	INDPM8082X300N
PWR	59.69	9.53	180.00	GRN	CHIPLED_0603
R1	34.29	55.95	270.00	10K	R0603
R10	58.42	12.07	180.00	1k	R0603
R11	37.47	36.83	90.00	1K	RA1206-8
R12	30.48	20.32	90.00	10K	R0603
R13	27.30	20.24	180.00	10K	RA1206-8
R14	46.61	23.24	90.00	100	RA1206-8
R15	47.24	50.29	90.00	100	R0603
R16	47.24	53.59	90.00	100	R0603
R17	49.53	44.83	90.00	22	R0603
R18	49.53	16.89	90.00	22	R0603
R19	49.53	30.86	90.00	22	R0603
R2	37.47	55.95	0.00	10K	RA1206-8
R20	2.54	12.09	180.00	1k	R0603
R21	30.48	5.08	270.00	20k	R0603
R22	35.56	13.97	270.00	34k	R0603
R23	33.02	13.97	90.00	10k	R0603
R24	27.30	39.37	270.00	20K	RA1206-8
R26	25.40	43.18	270.00	20k 1/4W	R0603
R28	39.37	33.02	90.00	20k 1/4W	R0603
R3	14.48	52.07	270.00	100	RA1206-8
R32	33.02	35.56	90.00	20k 1/4W	R0603
R34	32.38	40.64	270.00	20k 1/4W	R0603
R4	13.72	25.40	270.00	100	R0603
R5	13.72	21.46	270.00	100	R0603
R6	11.43	30.48	270.00	22	R0603
R7	11.43	58.42	270.00	22	R0603
R8	11.43	44.45	270.00	22	R0603
R9	2.54	6.81	0.00	1k	R0603
Y1	38.10	40.64	0.00	16.384MHz	CRYSTAL-SMD-3.2X2.5MM
Y2	26.67	35.56	180.00	16.384MHz	CRYSTAL-SMD-3.2X2.5MM
